"WP_NAME,C,50","WARD,C,5","PRECINCT,C,5","DISTRICT,C,10","POP_2010,N,10,0","TOWN,C,35","TOWN_ID,N,5,0","AREA_SQMI,N,19,11","AREA_ACRES,N,19,11","YEAR,N,10,0","SHAPE_AREA,N,19,11","SHAPE_LEN,N,19,11"
New Bedford City Ward 5 Precinct F,5,F,5-F,2596,NEW BEDFORD,201,0.224,143.46,2012,580563.478706,3666.61103703
New Bedford City Ward 5 Precinct E,5,E,5-E,2732,NEW BEDFORD,201,0.727,465.14,2012,1882377.64902,6922.67737071
Newton City Ward 1 Precinct 1,1,1,1-1,2643,NEWTON,207,0.32,204.68,2012,828323.01012,4866.80148137
New Bedford City Ward 6 Precinct A,6,A,6-A,2642,NEW BEDFORD,201,0.52,332.65,2012,1346171.99051,8050.93581013
New Bedford City Ward 6 Precinct B,6,B,6-B,2540,NEW BEDFORD,201,0.303,194.18,2012,785841.149031,5323.89698404
New Bedford City Ward 6 Precinct C,6,C,6-C,2577,NEW BEDFORD,201,0.195,124.89,2012,505432.357341,5639.9856594
New Bedford City Ward 6 Precinct D,6,D,6-D,2608,NEW BEDFORD,201,0.118,75.28,2012,304657.984655,2984.7385802
New Bedford City Ward 6 Precinct E,6,E,6-E,2544,NEW BEDFORD,201,0.247,158.38,2012,640962.956082,4741.44335821
New Bedford City Ward 6 Precinct F,6,F,6-F,2558,NEW BEDFORD,201,0.159,101.5,2012,410754.402998,3555.18091233
Newton City Ward 6 Precinct 3,6,3,6-3,2766,NEWTON,207,0.523,334.47,2012,1353564.63389,5843.94734229
Newton City Ward 5 Precinct 3,5,3,5-3,2700,NEWTON,207,0.744,476.11,2012,1926769.43685,8057.49366452
Newton City Ward 5 Precinct 2,5,2,5-2,2687,NEWTON,207,0.489,312.78,2012,1265773.68296,7566.26281617
Newton City Ward 4 Precinct 4,4,4,4-4,2613,NEWTON,207,0.492,315.09,2012,1275124.87817,5423.50939422
Newton City Ward 4 Precinct 3,4,3,4-3,2715,NEWTON,207,0.415,265.32,2012,1073713.31709,6374.90379977
Newton City Ward 4 Precinct 2,4,2,4-2,2690,NEWTON,207,0.999,639.49,2012,2587946.11828,9301.58800045
